score,zone,uid_is_root,score_delta,event_type,target_containment,source,category
4.7,0,0,-5.27,0,0,adfa_ld,normal
8.94,0,0,9.54,0,0,adfa_ld,normal
14.86,0,0,-11.53,0,0,adfa_ld,normal
16.92,0,0,28.97,0,0,adfa_ld,normal
13.44,2,0,-0.08,5,4,adfa_ld,reverse_shell
11.97,0,0,-4.24,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
24.91,1,0,-3.04,2,2,adfa_ld,lateral_movement
13.62,2,0,-0.71,4,3,adfa_ld,process_injection
27.68,0,0,34.63,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
19.51,2,0,9.62,5,4,adfa_ld,reverse_shell
4.66,0,0,-2.1,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
34.8,1,0,0.16,2,2,adfa_ld,lateral_movement
7.09,0,0,-1.0,0,0,adfa_ld,normal
12.11,1,0,0.57,2,2,adfa_ld,lateral_movement
7.36,0,0,12.1,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
4.7,0,0,7.26,0,0,adfa_ld,normal
13.94,0,0,-10.61,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
13.79,0,0,-0.0,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
15.9,0,0,-3.73,0,0,adfa_ld,normal
11.17,0,0,4.23,0,0,adfa_ld,normal
5.82,0,0,-0.84,0,0,adfa_ld,normal
53.09,0,0,0.0,0,0,adfa_ld,normal
44.97,0,0,0.16,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
15.08,0,0,1.34,0,0,adfa_ld,normal
2.79,0,0,6.36,0,0,adfa_ld,normal
28.06,2,0,-1.24,5,4,adfa_ld,reverse_shell
13.6,2,0,12.36,5,4,adfa_ld,reverse_shell
25.9,0,0,12.77,0,0,adfa_ld,normal
10.28,0,0,1.49,0,0,adfa_ld,normal
14.93,0,0,0.0,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
6.24,0,0,-4.08,0,0,adfa_ld,normal
34.14,0,0,0.86,0,0,adfa_ld,normal
8.89,0,0,-0.18,0,0,adfa_ld,normal
16.68,0,0,29.28,0,0,adfa_ld,normal
8.97,0,0,-0.72,0,0,adfa_ld,normal
21.66,1,0,-0.05,2,2,adfa_ld,lateral_movement
12.98,0,0,-0.01,0,0,adfa_ld,normal
12.03,0,0,-5.2,0,0,adfa_ld,normal
12.21,0,0,0.0,0,0,adfa_ld,normal
26.63,0,0,24.07,0,0,adfa_ld,normal
9.07,0,0,-1.91,0,0,adfa_ld,normal
12.54,0,0,-0.28,0,0,adfa_ld,normal
8.75,0,0,-3.83,0,0,adfa_ld,normal
9.45,0,0,1.54,0,0,adfa_ld,normal
25.33,0,0,22.85,0,0,adfa_ld,normal
10.85,0,0,0.0,0,0,adfa_ld,normal
27.08,0,0,34.0,0,0,adfa_ld,normal
10.81,0,0,-2.18,0,0,adfa_ld,normal
10.88,0,0,-5.27,0,0,adfa_ld,normal
2.92,0,0,0.23,0,0,adfa_ld,normal
8.61,0,0,-6.58,0,0,adfa_ld,normal
22.18,0,0,0.08,0,0,adfa_ld,normal
6.95,0,0,-0.26,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
15.56,2,0,0.53,4,3,adfa_ld,process_injection
5.67,0,0,-5.92,0,0,adfa_ld,normal
9.45,0,0,4.09,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
14.46,2,0,-0.07,5,4,adfa_ld,reverse_shell
8.26,0,0,9.32,0,0,adfa_ld,normal
7.84,0,0,-1.53,0,0,adfa_ld,normal
27.84,0,0,2.47,0,0,adfa_ld,normal
16.28,0,0,-0.21,0,0,adfa_ld,normal
9.06,0,0,-2.7,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
22.05,0,0,14.55,0,0,adfa_ld,normal
25.81,0,0,2.23,0,0,adfa_ld,normal
8.07,0,0,-0.25,0,0,adfa_ld,normal
27.08,0,0,34.0,0,0,adfa_ld,normal
15.75,0,0,23.38,0,0,adfa_ld,normal
14.92,0,0,22.35,0,0,adfa_ld,normal
13.85,0,0,4.87,0,0,adfa_ld,normal
15.48,2,0,-1.59,5,4,adfa_ld,reverse_shell
9.11,0,0,-3.04,0,0,adfa_ld,normal
10.0,0,0,3.91,0,0,local_machine,normal
40.48,0,0,0.0,0,0,adfa_ld,normal
100.0,0,0,0.08,0,0,adfa_ld,normal
8.69,0,0,7.63,0,0,adfa_ld,normal
12.96,0,0,3.19,0,0,adfa_ld,normal
7.52,0,0,1.57,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
30.42,0,0,-0.09,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
6.53,0,0,-3.28,0,0,adfa_ld,normal
11.03,0,0,-0.61,0,0,adfa_ld,normal
3.31,0,0,3.09,0,0,adfa_ld,normal
6.1,2,0,-2.67,5,4,adfa_ld,reverse_shell
4.7,0,0,-5.27,0,0,adfa_ld,normal
9.33,0,0,3.91,0,0,adfa_ld,normal
27.42,0,0,2.18,0,0,adfa_ld,normal
33.65,0,0,-0.05,0,0,adfa_ld,normal
30.7,0,0,-0.72,0,0,adfa_ld,normal
16.88,0,0,22.23,0,0,adfa_ld,normal
100.0,0,0,43.43,0,0,adfa_ld,normal
4.37,0,0,-0.24,0,0,adfa_ld,normal
22.87,0,0,1.48,0,0,adfa_ld,normal
11.22,0,0,1.2,0,0,adfa_ld,normal
22.24,0,0,-0.76,0,0,adfa_ld,normal
18.68,0,0,-22.69,0,0,adfa_ld,normal
24.66,0,0,1.43,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
43.49,0,0,-0.59,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
5.66,0,0,-7.46,0,0,adfa_ld,normal
46.94,0,0,8.29,0,0,adfa_ld,normal
52.91,0,0,0.71,0,0,adfa_ld,normal
20.79,0,0,7.45,0,0,adfa_ld,normal
16.64,0,0,2.08,0,0,adfa_ld,normal
12.8,0,0,-4.29,0,0,adfa_ld,normal
10.56,0,0,0.11,0,0,adfa_ld,normal
9.32,0,0,1.52,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
5.05,0,0,-0.11,0,0,adfa_ld,normal
10.49,1,0,2.21,1,1,adfa_ld,credential_access
8.95,0,0,-2.1,0,0,adfa_ld,normal
11.76,2,1,0.07,3,3,adfa_ld,privilege_escalation
12.53,2,1,-0.14,3,3,adfa_ld,privilege_escalation
8.2,0,0,2.54,0,0,adfa_ld,normal
23.67,0,0,3.1,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
6.63,0,0,-6.67,0,0,adfa_ld,normal
23.67,0,0,22.41,0,0,adfa_ld,normal
21.96,0,0,17.81,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
8.87,0,0,-5.7,0,0,adfa_ld,normal
15.92,0,0,3.26,0,0,adfa_ld,normal
16.9,0,0,-3.28,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
29.01,0,0,0.37,0,0,adfa_ld,normal
35.61,0,0,0.02,0,0,adfa_ld,normal
13.32,0,0,1.53,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
23.37,0,0,32.46,0,0,adfa_ld,normal
82.16,0,0,-12.54,0,0,adfa_ld,normal
9.32,0,0,1.52,0,0,adfa_ld,normal
4.88,0,0,10.55,0,0,adfa_ld,normal
7.97,0,0,1.35,0,0,adfa_ld,normal
30.53,0,0,1.59,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
13.3,0,0,3.38,0,0,adfa_ld,normal
15.8,0,0,17.87,0,0,adfa_ld,normal
25.02,1,0,0.02,1,1,adfa_ld,credential_access
11.28,0,0,14.27,0,0,adfa_ld,normal
13.32,0,0,20.04,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
33.13,0,0,4.81,0,0,adfa_ld,normal
21.47,0,0,-0.7,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
2.87,0,0,-9.27,0,0,adfa_ld,normal
26.31,2,0,0.35,5,4,adfa_ld,reverse_shell
9.17,0,0,-0.84,0,0,adfa_ld,normal
14.1,2,0,0.0,4,3,adfa_ld,process_injection
4.7,0,0,-5.27,0,0,adfa_ld,normal
16.38,2,0,-0.07,4,3,adfa_ld,process_injection
13.96,0,0,0.07,0,0,adfa_ld,normal
16.0,0,0,-8.77,0,0,adfa_ld,normal
12.86,0,0,5.67,0,0,adfa_ld,normal
15.06,0,0,1.49,0,0,adfa_ld,normal
26.13,0,0,21.84,0,0,adfa_ld,normal
9.71,0,0,-0.68,0,0,adfa_ld,normal
15.17,0,0,0.01,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
13.94,0,0,-12.32,0,0,adfa_ld,normal
12.51,2,1,-0.2,3,3,adfa_ld,privilege_escalation
9.93,0,0,0.76,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
6.66,0,0,6.87,0,0,adfa_ld,normal
13.64,0,0,0.26,0,0,adfa_ld,normal
32.69,0,0,-0.63,0,0,adfa_ld,normal
13.48,0,0,-3.17,0,0,adfa_ld,normal
53.05,0,0,-1.47,0,0,adfa_ld,normal
11.95,0,0,0.13,0,0,adfa_ld,normal
14.45,0,0,4.93,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
26.18,0,0,6.33,0,0,adfa_ld,normal
14.21,2,0,-0.27,4,3,adfa_ld,process_injection
39.96,0,0,0.0,0,0,adfa_ld,normal
3.63,0,0,3.35,0,0,adfa_ld,normal
13.82,0,0,-13.79,0,0,adfa_ld,normal
11.0,0,0,-1.85,0,0,adfa_ld,normal
13.23,0,0,-3.39,0,0,adfa_ld,normal
11.9,0,0,0.56,0,0,adfa_ld,normal
12.01,0,0,0.36,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
4.49,0,0,1.18,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
26.21,0,0,48.84,0,0,adfa_ld,normal
27.92,0,0,3.51,0,0,adfa_ld,normal
9.01,0,0,-3.21,0,0,adfa_ld,normal
13.48,2,0,0.67,4,3,adfa_ld,process_injection
16.05,0,0,-3.38,0,0,adfa_ld,normal
16.4,0,0,5.34,0,0,adfa_ld,normal
20.61,2,0,0.13,5,4,adfa_ld,reverse_shell
8.2,0,0,0.16,0,0,adfa_ld,normal
20.85,0,0,6.76,0,0,adfa_ld,normal
12.2,0,0,0.57,0,0,adfa_ld,normal
8.53,2,0,-0.02,4,3,adfa_ld,process_injection
22.77,0,0,3.57,0,0,adfa_ld,normal
12.33,0,0,0.29,0,0,adfa_ld,normal
14.58,0,0,-0.48,0,0,adfa_ld,normal
6.23,0,0,2.62,0,0,adfa_ld,normal
4.7,0,0,-5.27,0,0,adfa_ld,normal
